userId,createdAt,text,clean_tagging,remove_character,remove_hastag,tokenizing,clean_comment
17952333281381721,2023-01-13T03:33:02.000Z,"Trus benefitnya buat yg lwt dan bayar dijamin gak macet atau masih macet nie? Coba dijelaskan ke masyarakat,tujuan berbayar itu apa? Dan benefitnya apa?",,Trus benefitnya buat yg lwt dan bayar dijamin gak macet atau masih macet nie Coba dijelaskan ke masyarakat tujuan berbayar itu apa Dan benefitnya apa,Trus benefitnya buat yg lwt dan bayar dijamin gak macet atau masih macet nie Coba dijelaskan ke masyarakat tujuan berbayar itu apa Dan benefitnya apa,"['trus', 'benefitnya', 'lwt', 'bayar', 'jamin', 'gak', 'macet', 'macet', 'nie', 'coba', 'masyarakat', 'tuju', 'bayar', 'benefitnya']",trus benefitnya lwt bayar jamin gak macet macet nie coba masyarakat tuju bayar benefitnya
17970779516075338,2023-01-13T03:38:00.000Z,"Sekalian aja semua jalanan di Jakarta di tutup, buat kalian2 aja para pejabat yg lewat situ...rakyatnya di suruh di rumah aja.  Kan negara ini kalian yg punya",,Sekalian aja semua jalanan di Jakarta di tutup buat kalian2 aja para pejabat yg lewat situ rakyatnya di suruh di rumah aja Kan negara ini kalian yg punya,Sekalian aja semua jalanan di Jakarta di tutup buat kalian aja para pejabat yg lewat situ rakyatnya di suruh di rumah aja Kan negara ini kalian yg punya,"['aja', 'jalan', 'jakarta', 'tutup', 'aja', 'jabat', 'situ', 'rakyat', 'suruh', 'rumah', 'aja', 'negara']",aja jalan jakarta tutup aja jabat situ rakyat suruh rumah aja negara
17978077249791389,2023-01-13T04:01:25.000Z,"@bos.viddy_fristian menurut keterangan dari kepala dishub DKI rencana ini bertujuan untuk mengatasi kemacetan ka, smoga dapat mengurangi kemacetan ya kak",".viddy_fristian menurut keterangan dari kepala dishub DKI rencana ini bertujuan untuk mengatasi kemacetan ka, smoga dapat mengurangi kemacetan ya kak",viddy fristian menurut keterangan dari kepala dishub DKI rencana ini bertujuan untuk mengatasi kemacetan ka smoga dapat mengurangi kemacetan ya kak,viddy fristian menurut keterangan dari kepala dishub DKI rencana ini bertujuan untuk mengatasi kemacetan ka smoga dapat mengurangi kemacetan ya kak,"['viddy', 'fristian', 'terang', 'kepala', 'dishub', 'dki', 'rencana', 'tuju', 'atas', 'macet', 'ka', 'smoga', 'kurang', 'macet', 'kak']",viddy fristian terang kepala dishub dki rencana tuju atas macet ka smoga kurang macet kak
18230053471089474,2023-01-13T04:03:07.000Z,@silver_stone263 mungkin maksud kaka wfh kali ya hehe, mungkin maksud kaka wfh kali ya hehe,stone263 mungkin maksud kaka wfh kali ya hehe,stone mungkin maksud kaka wfh kali ya hehe,"['stone', 'kaka', 'wfh']",stone kaka wfh
17917600484655779,2023-01-13T04:39:41.000Z,Sebenernya simple para pegawai pemerintahannya aja dulu jangan pakai mobil pribadi lebih baik pakai mobil jemputan karyawan aja 1 mobil utk rame2 bisa jadi mengurangi kemacetan,,Sebenernya simple para pegawai pemerintahannya aja dulu jangan pakai mobil pribadi lebih baik pakai mobil jemputan karyawan aja 1 mobil utk rame2 bisa jadi mengurangi kemacetan,Sebenernya simple para pegawai pemerintahannya aja dulu jangan pakai mobil pribadi lebih baik pakai mobil jemputan karyawan aja  mobil utk rame bisa jadi mengurangi kemacetan,"['sebenernya', 'simple', 'pegawai', 'perintah', 'aja', 'pakai', 'mobil', 'pribadi', 'pakai', 'mobil', 'jemput', 'karyawan', 'aja', 'mobil', 'rame', 'kurang', 'macet']",sebenernya simple pegawai perintah aja pakai mobil pribadi pakai mobil jemput karyawan aja mobil rame kurang macet
17933517209608908,2023-01-13T04:53:44.000Z,Klo gtu penjualan mobil di Indonesia di stop hanya yg boleh 1 keluarga cuma 1 mobil pribadi bersifat untuk 5 org..😂,,Klo gtu penjualan mobil di Indonesia di stop hanya yg boleh 1 keluarga cuma 1 mobil pribadi bersifat untuk 5 org,Klo gtu penjualan mobil di Indonesia di stop hanya yg boleh  keluarga cuma  mobil pribadi bersifat untuk  org,"['klo', 'jual', 'mobil', 'indonesia', 'stop', 'keluarga', 'mobil', 'pribadi', 'sifat']",klo jual mobil indonesia stop keluarga mobil pribadi sifat
18010426768477243,2023-01-13T05:49:04.000Z,kalo mau bikin kebijakan jangan sambil nyimeng lah,,kalo mau bikin kebijakan jangan sambil nyimeng lah,kalo mau bikin kebijakan jangan sambil nyimeng lah,"['bikin', 'bijak', 'nyimeng']",bikin bijak nyimeng
17978960698801021,2023-01-13T06:57:01.000Z,Ada upaya larangan mobilitas manusia dimasa2 pemilihan presiden dgn mengambil kebijakan berbayar diruas2 jalan tertentu .. sudah kebaca,,Ada upaya larangan mobilitas manusia dimasa2 pemilihan presiden dgn mengambil kebijakan berbayar diruas2 jalan tertentu sudah kebaca,Ada upaya larangan mobilitas manusia dimasa pemilihan presiden dgn mengambil kebijakan berbayar diruas jalan tertentu sudah kebaca,"['upaya', 'larang', 'mobilitas', 'manusia', 'masa', 'pilih', 'presiden', 'ambil', 'bijak', 'bayar', 'ruas', 'jalan', 'baca']",upaya larang mobilitas manusia masa pilih presiden ambil bijak bayar ruas jalan baca
18005322337501484,2023-01-13T07:13:28.000Z,"Siap2 menular ke daerah lain, negeei ini jadi menjajah rakyatnya",,Siap2 menular ke daerah lain negeei ini jadi menjajah rakyatnya,Siap menular ke daerah lain negeei ini jadi menjajah rakyatnya,"['tular', 'daerah', 'negeei', 'jajah', 'rakyat']",tular daerah negeei jajah rakyat
17920170485647933,2023-01-13T09:27:23.000Z,👍👍👍 ide bagus ... pro dan kontra sih tapi ndk pa2 ...,,ide bagus pro dan kontra sih tapi ndk pa2,ide bagus pro dan kontra sih tapi ndk pa,"['ide', 'bagus', 'pro', 'kontra', 'ndk', 'pa']",ide bagus pro kontra ndk pa
18244726261148216,2023-01-13T10:51:04.000Z,Bagus ini. Harus!!! Bila perlu Surabaya dan Medan hrs mengikuti. Tapi... ya itu. Transportasi massal sdh siap gak??? Ini yg selain Jkt... daerah2 msh kedodoran. Gmn nih pemkot2???,,Bagus ini Harus Bila perlu Surabaya dan Medan hrs mengikuti Tapi ya itu Transportasi massal sdh siap gak Ini yg selain Jkt daerah2 msh kedodoran Gmn nih pemkot2,Bagus ini Harus Bila perlu Surabaya dan Medan hrs mengikuti Tapi ya itu Transportasi massal sdh siap gak Ini yg selain Jkt daerah msh kedodoran Gmn nih pemkot,"['bagus', 'surabaya', 'medan', 'hrs', 'ikut', 'transportasi', 'massal', 'gak', 'jkt', 'daerah', 'msh', 'kedodoran', 'gmn', 'pemkot']",bagus surabaya medan hrs ikut transportasi massal gak jkt daerah msh kedodoran gmn pemkot
18339712534002537,2023-01-13T11:13:12.000Z,Gw  binggung...ma pemda ya ni sama aja bikin yg seharus ya pengeluaran di buat untuk anak bini malah kemana2 ni sama lintah darat ni pemda apa lintah darat sih,,Gw binggung ma pemda ya ni sama aja bikin yg seharus ya pengeluaran di buat untuk anak bini malah kemana2 ni sama lintah darat ni pemda apa lintah darat sih,Gw binggung ma pemda ya ni sama aja bikin yg seharus ya pengeluaran di buat untuk anak bini malah kemana ni sama lintah darat ni pemda apa lintah darat sih,"['binggung', 'ma', 'pemda', 'ni', 'aja', 'bikin', 'harus', 'keluar', 'anak', 'bini', 'mana', 'ni', 'lintah', 'darat', 'ni', 'pemda', 'lintah', 'darat']",binggung ma pemda ni aja bikin harus keluar anak bini mana ni lintah darat ni pemda lintah darat
17961763802195048,2023-01-13T14:45:31.000Z,Pajak kendaraan dihapus ya 😂😂,,Pajak kendaraan dihapus ya,Pajak kendaraan dihapus ya,"['pajak', 'kendara', 'hapus']",pajak kendara hapus
18200139445212827,2023-01-13T23:11:31.000Z,Mau sampe kapan pun yang namanya jakarta ngga bakalan bebas macet mau pakai aturan apapun....karena mobility adalah kebutuhan dasar. Dan mengendalikan mobility bukan dengan menetapkan tarif....itu bukan penyelesaian tapi membebani hidup orang.,,Mau sampe kapan pun yang namanya jakarta ngga bakalan bebas macet mau pakai aturan apapun karena mobility adalah kebutuhan dasar Dan mengendalikan mobility bukan dengan menetapkan tarif itu bukan penyelesaian tapi membebani hidup orang,Mau sampe kapan pun yang namanya jakarta ngga bakalan bebas macet mau pakai aturan apapun karena mobility adalah kebutuhan dasar Dan mengendalikan mobility bukan dengan menetapkan tarif itu bukan penyelesaian tapi membebani hidup orang,"['sampe', 'nama', 'jakarta', 'ngga', 'bebas', 'macet', 'pakai', 'atur', 'apa', 'mobility', 'butuh', 'dasar', 'kendali', 'mobility', 'tetap', 'tarif', 'selesai', 'beban', 'hidup']",sampe nama jakarta ngga bebas macet pakai atur apa mobility butuh dasar kendali mobility tetap tarif selesai beban hidup
17980546738885858,2023-01-13T23:40:00.000Z,Dr dua abad lalu juga jkt udh macet😂😂😂,,Dr dua abad lalu juga jkt udh macet,Dr dua abad lalu juga jkt udh macet,"['abad', 'jkt', 'udh', 'macet']",abad jkt udh macet
17973044168058046,2023-01-14T00:04:14.000Z,Belum siap,,Belum siap,Belum siap,[],
17959914080251648,2023-01-14T04:09:50.000Z,Katanya merdeka ?,,Katanya merdeka,Katanya merdeka,['merdeka'],merdeka
17890872620696721,2023-01-14T05:46:42.000Z,Solusi agar rakyat memakai transportasi umum kek nya nih,,Solusi agar rakyat memakai transportasi umum kek nya nih,Solusi agar rakyat memakai transportasi umum kek nya nih,"['solusi', 'rakyat', 'pakai', 'transportasi', 'umum']",solusi rakyat pakai transportasi umum
17950611185412095,2023-01-14T05:57:48.000Z,@dhewipr kakanya spertinya anak kereta nih atau anak busway?, kakanya spertinya anak kereta nih atau anak busway?,kakanya spertinya anak kereta nih atau anak busway,kakanya spertinya anak kereta nih atau anak busway,"['kakanya', 'spertinya', 'anak', 'kereta', 'anak', 'busway']",kakanya spertinya anak kereta anak busway
17975033263964884,2023-01-14T06:37:26.000Z,"Dah bayar pajak kendaraan buat jalan, Pas mau make jalan disuruh bayar lagi😂😂😂😂, lebih baik g usah bayar pajak donk",,Dah bayar pajak kendaraan buat jalan Pas mau make jalan disuruh bayar lagi lebih baik g usah bayar pajak donk,Dah bayar pajak kendaraan buat jalan Pas mau make jalan disuruh bayar lagi lebih baik g usah bayar pajak donk,"['bayar', 'pajak', 'kendara', 'jalan', 'pas', 'make', 'jalan', 'suruh', 'bayar', 'bayar', 'pajak']",bayar pajak kendara jalan pas make jalan suruh bayar bayar pajak
17948826173313500,2023-01-14T09:47:22.000Z,"Jl. S Parman, trus klau rumah dikemanggisan lewat sana harus bayar gitu. Enggak reasonable ini aturannya. Klu jl Sudirman atau Kuningan ok saja. Tapi klu jalan yang banyak perumahan atau kompleknya agak aneh sih menurut saya.. keblinger ini pemda DKI..😂",,Jl S Parman trus klau rumah dikemanggisan lewat sana harus bayar gitu Enggak reasonable ini aturannya Klu jl Sudirman atau Kuningan ok saja Tapi klu jalan yang banyak perumahan atau kompleknya agak aneh sih menurut saya keblinger ini pemda DKI,Jl S Parman trus klau rumah dikemanggisan lewat sana harus bayar gitu Enggak reasonable ini aturannya Klu jl Sudirman atau Kuningan ok saja Tapi klu jalan yang banyak perumahan atau kompleknya agak aneh sih menurut saya keblinger ini pemda DKI,"['jl', 'parman', 'trus', 'klau', 'rumah', 'manggis', 'bayar', 'gitu', 'reasonable', 'atur', 'klu', 'jl', 'sudirman', 'kuningan', 'ok', 'klu', 'jalan', 'rumah', 'kompleknya', 'aneh', 'keblinger', 'pemda', 'dki']",jl parman trus klau rumah manggis bayar gitu reasonable atur klu jl sudirman kuningan ok klu jalan rumah kompleknya aneh keblinger pemda dki
17997453781628678,2023-01-14T11:24:39.000Z,suruh pindah ibukota aja sono😂😂😂,,suruh pindah ibukota aja sono,suruh pindah ibukota aja sono,"['suruh', 'pindah', 'ibukota', 'aja', 'sono']",suruh pindah ibukota aja sono
18340506028059702,2023-01-14T12:31:31.000Z,"Memiskinkan yang miskin,menyulitkan tidak memudahkan",,Memiskinkan yang miskin menyulitkan tidak memudahkan,Memiskinkan yang miskin menyulitkan tidak memudahkan,"['miskin', 'miskin', 'sulit', 'mudah']",miskin miskin sulit mudah
17949953792289001,2023-01-14T16:14:04.000Z,Untuk apa byar pajak kendaraan klo mau jlan di jlanan umum harus bayar lagi 😂 yg senang pejabat dpat banyak dana lagi. Masyarakat melarat,,Untuk apa byar pajak kendaraan klo mau jlan di jlanan umum harus bayar lagi yg senang pejabat dpat banyak dana lagi Masyarakat melarat,Untuk apa byar pajak kendaraan klo mau jlan di jlanan umum harus bayar lagi yg senang pejabat dpat banyak dana lagi Masyarakat melarat,"['pajak', 'kendara', 'klo', 'jlan', 'jlanan', 'umum', 'bayar', 'senang', 'jabat', 'dpat', 'dana', 'masyarakat', 'melarat']",pajak kendara klo jlan jlanan umum bayar senang jabat dpat dana masyarakat melarat
17961027308263669,2023-01-15T00:16:28.000Z,Pemda kekurangan APBD,,Pemda kekurangan APBD,Pemda kekurangan APBD,"['pemda', 'kurang', 'apbd']",pemda kurang apbd
18023039035462138,2023-01-10T10:42:06.000Z,Dari rakyat kembali ke (....) isi sendiri lah😂😂😂,,Dari rakyat kembali ke isi sendiri lah,Dari rakyat kembali ke isi sendiri lah,"['rakyat', 'isi']",rakyat isi
17949579302397804,2023-01-10T10:43:49.000Z,APAKABARPAJAK??,,APAKABARPAJAK,APAKABARPAJAK,['apakabarpajak'],apakabarpajak
18159914428274400,2023-01-10T10:58:56.000Z,Gaji mandek pengluaran jorjoran:v,,Gaji mandek pengluaran jorjoran v,Gaji mandek pengluaran jorjoran v,"['gaji', 'mandek', 'luar', 'jorjoran']",gaji mandek luar jorjoran
17949619310432169,2023-01-10T11:17:40.000Z,Padahal sudah bayar pajak...subhanallah para pemimpin ini..,,Padahal sudah bayar pajak subhanallah para pemimpin ini,Padahal sudah bayar pajak subhanallah para pemimpin ini,"['bayar', 'pajak', 'subhanallah', 'pimpin']",bayar pajak subhanallah pimpin
17983480174829318,2023-01-10T11:20:02.000Z,"Astaqfirullah lalu hrs gmn ini jalanan msh hrs berbayar lagi,jika salah jln lalu hrs putar balik gmn🤭",,Astaqfirullah lalu hrs gmn ini jalanan msh hrs berbayar lagi jika salah jln lalu hrs putar balik gmn,Astaqfirullah lalu hrs gmn ini jalanan msh hrs berbayar lagi jika salah jln lalu hrs putar balik gmn,"['astaqfirullah', 'hrs', 'gmn', 'jalan', 'msh', 'hrs', 'bayar', 'salah', 'jln', 'hrs', 'putar', 'gmn']",astaqfirullah hrs gmn jalan msh hrs bayar salah jln hrs putar gmn
18007079518549339,2023-01-10T11:35:03.000Z,uang uang uang uang,,uang uang uang uang,uang uang uang uang,"['uang', 'uang', 'uang', 'uang']",uang uang uang uang
17980595677882198,2023-01-10T11:54:34.000Z,"@rianadewi0706 kalo semua berpikiran seperti anda HANCUR negara 😂😂😂. Emng fasilitas yg di buat itu dibuat sm Allah? Emngny jalan aspal, trotoar siapa yg bikin? Allah? Enggak kan? Pemerintah yg bikin dari duit pajak. Tolong lahhh berpikir secara rasional saja wkwkw"," kalo semua berpikiran seperti anda HANCUR negara 😂😂😂. Emng fasilitas yg di buat itu dibuat sm Allah? Emngny jalan aspal, trotoar siapa yg bikin? Allah? Enggak kan? Pemerintah yg bikin dari duit pajak. Tolong lahhh berpikir secara rasional saja wkwkw",kalo semua berpikiran seperti anda HANCUR negara Emng fasilitas yg di buat itu dibuat sm Allah Emngny jalan aspal trotoar siapa yg bikin Allah Enggak kan Pemerintah yg bikin dari duit pajak Tolong lahhh berpikir secara rasional saja wkwkw,kalo semua berpikiran seperti anda HANCUR negara Emng fasilitas yg di buat itu dibuat sm Allah Emngny jalan aspal trotoar siapa yg bikin Allah Enggak kan Pemerintah yg bikin dari duit pajak Tolong lahhh berpikir secara rasional saja wkwkw,"['pikir', 'hancur', 'negara', 'emng', 'fasilitas', 'allah', 'emngny', 'jalan', 'aspal', 'trotoar', 'bikin', 'allah', 'perintah', 'bikin', 'duit', 'pajak', 'tolong', 'lahhh', 'pikir', 'rasional']",pikir hancur negara emng fasilitas allah emngny jalan aspal trotoar bikin allah perintah bikin duit pajak tolong lahhh pikir rasional
17882521805788436,2023-01-10T11:57:19.000Z,Halah. Emak. Emangnya TDK ada cara lain kah. Masa dikit rakyat trus diperas.,,Halah Emak Emangnya TDK ada cara lain kah Masa dikit rakyat trus diperas,Halah Emak Emangnya TDK ada cara lain kah Masa dikit rakyat trus diperas,"['halah', 'emak', 'emang', 'kah', 'dikit', 'rakyat', 'trus', 'peras']",halah emak emang kah dikit rakyat trus peras
17888276594769397,2023-01-10T12:10:00.000Z,Melarat bgt indonesia,,Melarat bgt indonesia,Melarat bgt indonesia,"['melarat', 'bgt', 'indonesia']",melarat bgt indonesia
17937582791468860,2023-01-10T12:16:40.000Z,"@gerald_julio8 lah kn udah bayar pas lewat, lagian yg lewat kn banyak. gue bilang punya Allah, tp manusia yg kelola, buka lg deh kamus bahasa indonesia 😂"," lah kn udah bayar pas lewat, lagian yg lewat kn banyak. gue bilang punya Allah, tp manusia yg kelola, buka lg deh kamus bahasa indonesia 😂",julio8 lah kn udah bayar pas lewat lagian yg lewat kn banyak gue bilang punya Allah tp manusia yg kelola buka lg deh kamus bahasa indonesia,julio lah kn udah bayar pas lewat lagian yg lewat kn banyak gue bilang punya Allah tp manusia yg kelola buka lg deh kamus bahasa indonesia,"['julio', 'kn', 'udah', 'bayar', 'pas', 'kn', 'bilang', 'allah', 'tp', 'manusia', 'kelola', 'buka', 'kamus', 'bahasa', 'indonesia']",julio kn udah bayar pas kn bilang allah tp manusia kelola buka kamus bahasa indonesia
